Exchange Date,Close,Net,%Chg,Open
12-Feb-2021,"3,934.8337",+18.4587,+0.4713%,"3,934.8337"
11-Feb-2021,"3,916.3750",+6.4953,+0.1661%,"3,916.3750"
10-Feb-2021,"3,909.8797",-1.3480,-0.0345%,"3,909.8797"
09-Feb-2021,"3,911.2277",-4.3609,-0.1114%,"3,911.2277"
08-Feb-2021,"3,915.5886",+28.7569,+0.7399%,"3,915.5886"
05-Feb-2021,"3,886.8317",+15.0911,+0.3898%,"3,886.8317"
04-Feb-2021,"3,871.7406",+41.5681,+1.0853%,"3,871.7406"
03-Feb-2021,"3,830.1725",+3.8596,+0.1009%,"3,830.1725"
02-Feb-2021,"3,826.3129",+52.4558,+1.3900%,"3,826.3129"
01-Feb-2021,"3,773.8571",+59.6144,+1.6050%,"3,773.8571"
29-Jan-2021,"3,714.2427",-73.1342,-1.9310%,"3,714.2427"
28-Jan-2021,"3,787.3769",+36.6037,+0.9759%,"3,787.3769"
27-Jan-2021,"3,750.7732",-98.8481,-2.5677%,"3,750.7732"
26-Jan-2021,"3,849.6213",-5.7344,-0.1487%,"3,849.6213"
25-Jan-2021,"3,855.3557",+13.8901,+0.3616%,"3,855.3557"
22-Jan-2021,"3,841.4656",-11.6077,-0.3013%,"3,841.4656"
21-Jan-2021,"3,853.0733",+1.2274,+0.0319%,"3,853.0733"
20-Jan-2021,"3,851.8459",+52.9384,+1.3935%,"3,851.8459"
19-Jan-2021,"3,798.9075",+30.6612,+0.8137%,"3,798.9075"
15-Jan-2021,"3,768.2463",-27.2951,-0.7191%,"3,768.2463"
14-Jan-2021,"3,795.5414",-14.3019,-0.3754%,"3,795.5414"
13-Jan-2021,"3,809.8433",+8.6522,+0.2276%,"3,809.8433"
12-Jan-2021,"3,801.1911",+1.5859,+0.0417%,"3,801.1911"
11-Jan-2021,"3,799.6052",-25.0757,-0.6556%,"3,799.6052"
08-Jan-2021,"3,824.6809",+20.8905,+0.5492%,"3,824.6809"
07-Jan-2021,"3,803.7904",+55.6526,+1.4848%,"3,803.7904"
06-Jan-2021,"3,748.1378",+21.2820,+0.5710%,"3,748.1378"
05-Jan-2021,"3,726.8558",+26.2090,+0.7082%,"3,726.8558"
04-Jan-2021,"3,700.6468",-55.4247,-1.4756%,"3,700.6468"
31-Dec-2020,"3,756.0715",+24.0295,+0.6439%,"3,756.0715"
30-Dec-2020,"3,732.0420",+5.0019,+0.1342%,"3,732.0420"
29-Dec-2020,"3,727.0401",-8.3156,-0.2226%,"3,727.0401"
28-Dec-2020,"3,735.3557",+32.2979,+0.8722%,"3,735.3557"
24-Dec-2020,"3,703.0578",+13.0440,+0.3535%,"3,703.0578"
23-Dec-2020,"3,690.0138",+2.7533,+0.0747%,"3,690.0138"
22-Dec-2020,"3,687.2605",-7.6592,-0.2073%,"3,687.2605"
21-Dec-2020,"3,694.9197",-14.4887,-0.3906%,"3,694.9197"
18-Dec-2020,"3,709.4084",-13.0738,-0.3512%,"3,709.4084"
17-Dec-2020,"3,722.4822",+21.3084,+0.5757%,"3,722.4822"
16-Dec-2020,"3,701.1738",+6.5517,+0.1773%,"3,701.1738"
15-Dec-2020,"3,694.6221",+47.1289,+1.2921%,"3,694.6221"
14-Dec-2020,"3,647.4932",-15.9647,-0.4358%,"3,647.4932"
11-Dec-2020,"3,663.4579",-4.6458,-0.1267%,"3,663.4579"
10-Dec-2020,"3,668.1037",-4.7160,-0.1284%,"3,668.1037"
09-Dec-2020,"3,672.8197",-29.4283,-0.7949%,"3,672.8197"
08-Dec-2020,"3,702.2480",+10.2845,+0.2786%,"3,702.2480"
07-Dec-2020,"3,691.9635",-7.1579,-0.1935%,"3,691.9635"
04-Dec-2020,"3,699.1214",+32.4053,+0.8838%,"3,699.1214"
03-Dec-2020,"3,666.7161",-2.2895,-0.0624%,"3,666.7161"
02-Dec-2020,"3,669.0056",+6.5523,+0.1789%,"3,669.0056"
01-Dec-2020,"3,662.4533",+40.8199,+1.1271%,"3,662.4533"
30-Nov-2020,"3,621.6334",-16.7202,-0.4596%,"3,621.6334"
27-Nov-2020,"3,638.3536",+8.7076,+0.2399%,"3,638.3536"
25-Nov-2020,"3,629.6460",-5.7603,-0.1584%,"3,629.6460"
24-Nov-2020,"3,635.4063",+57.8159,+1.6161%,"3,635.4063"
23-Nov-2020,"3,577.5904",+20.0466,+0.5635%,"3,577.5904"
20-Nov-2020,"3,557.5438",-24.3231,-0.6791%,"3,557.5438"
19-Nov-2020,"3,581.8669",+14.0778,+0.3946%,"3,581.8669"
18-Nov-2020,"3,567.7891",-41.7426,-1.1565%,"3,567.7891"
17-Nov-2020,"3,609.5317",-17.3759,-0.4791%,"3,609.5317"
16-Nov-2020,"3,626.9076",+41.7541,+1.1646%,"3,626.9076"
13-Nov-2020,"3,585.1535",+48.1440,+1.3611%,"3,585.1535"
12-Nov-2020,"3,537.0095",-35.6509,-0.9979%,"3,537.0095"
11-Nov-2020,"3,572.6604",+27.1273,+0.7651%,"3,572.6604"
10-Nov-2020,"3,545.5331",-4.9663,-0.1399%,"3,545.5331"
09-Nov-2020,"3,550.4994",+41.0629,+1.1701%,"3,550.4994"
